"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0893,13.2890186154838
6.0894,13.2935635687875
6.0895,13.2981102580428
6.0896,13.3026586839488
6.0897,13.3072088472049
6.0898,13.3117607485108
6.0899,13.3163143885664
6.09,13.3208697680718
6.0901,13.3254268877275
6.0902,13.3299857482343
6.0903,13.334546350293
6.0904,13.339108694605
6.0905,13.3436727818717
6.0906,13.3482386127949
6.0907,13.3528061880767
6.0908,13.3573755084193
6.0909,13.3619465745254
6.091,13.3665193870977
6.0911,13.3710939468393
6.0912,13.3756702544535
6.0913,13.3802483106441
6.0914,13.3848281161148
6.0915,13.3894096715698
6.0916,13.3939929777136
6.0917,13.3985780352508
6.0918,13.4031648448864
6.0919,13.4077534073255
6.092,13.4123437232736
6.0921,13.4169357934366
6.0922,13.4215296185202
6.0923,13.426125199231
6.0924,13.4307225362753
6.0925,13.4353216303599
6.0926,13.4399224821921
6.0927,13.4445250924789
6.0928,13.4491294619281
6.0929,13.4537355912475
6.093,13.4583434811453
6.0931,13.4629531323297
6.0932,13.4675645455096
6.0933,13.4721777213937
6.0934,13.4767926606913
6.0935,13.4814093641119
6.0936,13.4860278323651
6.0937,13.4906480661609
6.0938,13.4952700662097
6.0939,13.4998938332218
6.094,13.504519367908
6.0941,13.5091466709795
6.0942,13.5137757431476
6.0943,13.5184065851237
6.0944,13.5230391976199
6.0945,13.5276735813481
6.0946,13.5323097370207
6.0947,13.5369476653504
6.0948,13.5415873670502
6.0949,13.5462288428331
6.095,13.5508720934126
6.0951,13.5555171195025
6.0952,13.5601639218166
6.0953,13.5648125010694
6.0954,13.5694628579751
6.0955,13.5741149932488
6.0956,13.5787689076053
6.0957,13.5834246017599
6.0958,13.5880820764284
6.0959,13.5927413323265
6.096,13.5974023701703
6.0961,13.6020651906761
6.0962,13.6067297945608
6.0963,13.611396182541
6.0964,13.6160643553342
6.0965,13.6207343136576
6.0966,13.625406058229
6.0967,13.6300795897663
6.0968,13.634754908988
6.0969,13.6394320166123
6.097,13.6441109133582
6.0971,13.6487915999446
6.0972,13.6534740770909
6.0973,13.6581583455167
6.0974,13.6628444059419
6.0975,13.6675322590865
6.0976,13.672221905671
6.0977,13.6769133464159
6.0978,13.6816065820423
6.0979,13.6863016132714
6.098,13.6909984408245
6.0981,13.6956970654234
6.0982,13.7003974877901
6.0983,13.7050997086469
6.0984,13.7098037287163
6.0985,13.7145095487212
6.0986,13.7192171693845
6.0987,13.7239265914297
6.0988,13.7286378155803
6.0989,13.7333508425602
6.099,13.7380656730936
6.0991,13.7427823079048
6.0992,13.7475007477186
6.0993,13.7522209932599
6.0994,13.7569430452538
6.0995,13.7616669044261
6.0996,13.7663925715022
6.0997,13.7711200472085
6.0998,13.7758493322709
6.0999,13.7805804274162
6.1,13.7853133333712
6.1001,13.7900480508629
6.1002,13.7947845806188
6.1003,13.7995229233666
6.1004,13.804263079834
6.1005,13.8090050507493
6.1006,13.8137488368409
6.1007,13.8184944388375
6.1008,13.8232418574683
6.1009,13.8279910934623
6.101,13.8327421475491
6.1011,13.8374950204586
6.1012,13.8422497129206
6.1013,13.8470062256658
6.1014,13.8517645594245
6.1015,13.8565247149277
6.1016,13.8612866929065
6.1017,13.8660504940924
6.1018,13.870816119217
6.1019,13.8755835690123
6.102,13.8803528442105
6.1021,13.8851239455441
6.1022,13.8898968737459
6.1023,13.8946716295489
6.1024,13.8994482136863
6.1025,13.9042266268918
6.1026,13.9090068698993
6.1027,13.9137889434428
6.1028,13.9185728482567
6.1029,13.9233585850756
6.103,13.9281461546346
6.1031,13.9329355576687
6.1032,13.9377267949136
6.1033,13.9425198671047
6.1034,13.9473147749783
6.1035,13.9521115192707
6.1036,13.9569101007182
6.1037,13.9617105200578
6.1038,13.9665127780265
6.1039,13.9713168753618
6.104,13.9761228128012
6.1041,13.9809305910826
6.1042,13.9857402109443
6.1043,13.9905516731246
6.1044,13.9953649783622
6.1045,14.0001801273963
6.1046,14.004997120966
6.1047,14.0098159598109
6.1048,14.0146366446707
6.1049,14.0194591762856
6.105,14.0242835553958
6.1051,14.029109782742
6.1052,14.0339378590651
6.1053,14.0387677851063
6.1054,14.043599561607
6.1055,14.0484331893088
6.1056,14.0532686689537
6.1057,14.0581060012841
